ID,Name,Description,Techniques,Tactics,Techniques-Description,Techniques-Name
G1030,Agrius,"Agrius typically uses commercial VPN services for anonymizing last-hop traffic to victim networks, such as ProtonVPN.",T1583,Resource Development,"Adversaries may buy, lease, rent, or obtain infrastructure that can be used during targeting. A wide variety of infrastructure exists for hosting and orchestrating adversary operations. Infrastructure solutions include physical or cloud servers, domains, and third-party web services. Some infrastructure providers offer free trial periods, enabling infrastructure acquisition at limited to no cost. Additionally, botnets are available for rent or purchase.",Acquire Infrastructure
G1003,Ember Bear,"Ember Bear uses services such as IVPN, SurfShark, and Tor to add anonymization to operations.",T1583,Resource Development,"Adversaries may buy, lease, rent, or obtain infrastructure that can be used during targeting. A wide variety of infrastructure exists for hosting and orchestrating adversary operations. Infrastructure solutions include physical or cloud servers, domains, and third-party web services. Some infrastructure providers offer free trial periods, enabling infrastructure acquisition at limited to no cost. Additionally, botnets are available for rent or purchase.",Acquire Infrastructure
G0119,Indrik Spider,Indrik Spider has purchased access to victim VPNs to facilitate access to victim environments.,T1583,Resource Development,"Adversaries may buy, lease, rent, or obtain infrastructure that can be used during targeting. A wide variety of infrastructure exists for hosting and orchestrating adversary operations. Infrastructure solutions include physical or cloud servers, domains, and third-party web services. Some infrastructure providers offer free trial periods, enabling infrastructure acquisition at limited to no cost. Additionally, botnets are available for rent or purchase.",Acquire Infrastructure
G0094,Kimsuky,Kimsuky has used funds from stolen and laundered cryptocurrency to acquire operational infrastructure.,T1583,Resource Development,"Adversaries may buy, lease, rent, or obtain infrastructure that can be used during targeting. A wide variety of infrastructure exists for hosting and orchestrating adversary operations. Infrastructure solutions include physical or cloud servers, domains, and third-party web services. Some infrastructure providers offer free trial periods, enabling infrastructure acquisition at limited to no cost. Additionally, botnets are available for rent or purchase.",Acquire Infrastructure
G0034,Sandworm Team,Sandworm Team used various third-party email campaign management services to deliver phishing emails.,T1583,Resource Development,"Adversaries may buy, lease, rent, or obtain infrastructure that can be used during targeting. A wide variety of infrastructure exists for hosting and orchestrating adversary operations. Infrastructure solutions include physical or cloud servers, domains, and third-party web services. Some infrastructure providers offer free trial periods, enabling infrastructure acquisition at limited to no cost. Additionally, botnets are available for rent or purchase.",Acquire Infrastructure
G1041,Sea Turtle,Sea Turtle accessed victim networks from VPN service provider networks.,T1583,Resource Development,"Adversaries may buy, lease, rent, or obtain infrastructure that can be used during targeting. A wide variety of infrastructure exists for hosting and orchestrating adversary operations. Infrastructure solutions include physical or cloud servers, domains, and third-party web services. Some infrastructure providers offer free trial periods, enabling infrastructure acquisition at limited to no cost. Additionally, botnets are available for rent or purchase.",Acquire Infrastructure
G1033,Star Blizzard,Star Blizzard has used HubSpot and MailerLite marketing platform services to hide the true sender of phishing emails.,T1583,Resource Development,"Adversaries may buy, lease, rent, or obtain infrastructure that can be used during targeting. A wide variety of infrastructure exists for hosting and orchestrating adversary operations. Infrastructure solutions include physical or cloud servers, domains, and third-party web services. Some infrastructure providers offer free trial periods, enabling infrastructure acquisition at limited to no cost. Additionally, botnets are available for rent or purchase.",Acquire Infrastructure
G0006,APT1,APT1 has registered hundreds of domains for use in operations.,T1583.001,Resource Development,"Adversaries may acquire domains that can be used during targeting. Domain names are the human readable names used to represent one or more IP addresses. They can be purchased or, in some cases, acquired for free.",Domains
G0007,APT28,"APT28 registered domains imitating NATO, OSCE security websites, Caucasus information resources, and other organizations.",T1583.001,Resource Development,"Adversaries may acquire domains that can be used during targeting. Domain names are the human readable names used to represent one or more IP addresses. They can be purchased or, in some cases, acquired for free.",Domains
G0050,APT32,APT32 has set up and operated websites to gather information and deliver malware.,T1583.001,Resource Development,"Adversaries may acquire domains that can be used during targeting. Domain names are the human readable names used to represent one or more IP addresses. They can be purchased or, in some cases, acquired for free.",Domains
G0082,APT38,APT38 has created fake domains to imitate legitimate venture capital or bank domains.,T1583.001,Resource Development,"Adversaries may acquire domains that can be used during targeting. Domain names are the human readable names used to represent one or more IP addresses. They can be purchased or, in some cases, acquired for free.",Domains
