ID,Name,Description,Techniques,Tactics,Techniques-Description,Techniques-Name
C0025,2016 Ukraine Electric Power Attack,"During the 2016 Ukraine Electric Power Attack, Sandworm Team used the sp_addlinkedsrvlogin command in MS-SQL to create a link between a created account and other servers in the network.",T1098,"Tactics:
Persistence,                                                        Privilege Escalation","Adversaries may manipulate accounts to maintain and/or elevate access to victim systems. Account manipulation may consist of any action that preserves or modifies adversary access to a compromised account, such as modifying credentials or permission groups. These actions could also include account activity designed to subvert security policies, such as performing iterative password updates to bypass password duration policies and preserve the life of compromised credentials.",Account Manipulation
S0274,Calisto,Calisto adds permissions and remote logins to all users.,T1098,"Tactics:
Persistence,                                                        Privilege Escalation","Adversaries may manipulate accounts to maintain and/or elevate access to victim systems. Account manipulation may consist of any action that preserves or modifies adversary access to a compromised account, such as modifying credentials or permission groups. These actions could also include account activity designed to subvert security policies, such as performing iterative password updates to bypass password duration policies and preserve the life of compromised credentials.",Account Manipulation
G0125,HAFNIUM,HAFNIUM has granted privileges to domain accounts and reset the password for default admin accounts.,T1098,"Tactics:
Persistence,                                                        Privilege Escalation","Adversaries may manipulate accounts to maintain and/or elevate access to victim systems. Account manipulation may consist of any action that preserves or modifies adversary access to a compromised account, such as modifying credentials or permission groups. These actions could also include account activity designed to subvert security policies, such as performing iterative password updates to bypass password duration policies and preserve the life of compromised credentials.",Account Manipulation
G0032,Lazarus Group,Lazarus Group malware WhiskeyDelta-Two contains a function that attempts to rename the administrator’s account.,T1098,"Tactics:
Persistence,                                                        Privilege Escalation","Adversaries may manipulate accounts to maintain and/or elevate access to victim systems. Account manipulation may consist of any action that preserves or modifies adversary access to a compromised account, such as modifying credentials or permission groups. These actions could also include account activity designed to subvert security policies, such as performing iterative password updates to bypass password duration policies and preserve the life of compromised credentials.",Account Manipulation
S0002,Mimikatz,The Mimikatz credential dumper has been extended to include Skeleton Key domain controller authentication bypass functionality. The LSADUMP::ChangeNTLM and LSADUMP::SetNTLM modules can also manipulate the password hash of an account without knowing the clear text value.,T1098,"Tactics:
Persistence,                                                        Privilege Escalation","Adversaries may manipulate accounts to maintain and/or elevate access to victim systems. Account manipulation may consist of any action that preserves or modifies adversary access to a compromised account, such as modifying credentials or permission groups. These actions could also include account activity designed to subvert security policies, such as performing iterative password updates to bypass password duration policies and preserve the life of compromised credentials.",Account Manipulation
C0027,C0027,"During C0027, Scattered Spider used aws_consoler  to create temporary federated credentials for fake users in order to obfuscate which AWS credential is compromised and enable pivoting from the AWS CLI to console sessions without MFA.",T1098.001,"Tactics:
Persistence,                                                        Privilege Escalation",Adversaries may add adversary-controlled credentials to a cloud account to maintain persistent access to victim accounts and instances within the environment.,Additional Cloud Credentials
S1091,Pacu,Pacu can generate SSH and API keys for AWS infrastructure and additional API keys for other IAM users.,T1098.001,"Tactics:
Persistence,                                                        Privilege Escalation",Adversaries may add adversary-controlled credentials to a cloud account to maintain persistent access to victim accounts and instances within the environment.,Additional Cloud Credentials
C0024,SolarWinds Compromise,"During the SolarWinds Compromise, APT29 added credentials to OAuth Applications and Service Principals.",T1098.001,"Tactics:
Persistence,                                                        Privilege Escalation",Adversaries may add adversary-controlled credentials to a cloud account to maintain persistent access to victim accounts and instances within the environment.,Additional Cloud Credentials
G0007,APT28,APT28 has used a Powershell cmdlet to grant the ApplicationImpersonation role to a compromised account.,T1098.002,"Tactics:
Persistence,                                                        Privilege Escalation",Adversaries may grant additional permission levels to maintain persistent access to an adversary-controlled email account.,Additional Email Delegate Permissions
G0016,APT29,APT29 has used a compromised global administrator account in Azure AD to backdoor a service principal with ApplicationImpersonation rights to start collecting emails from targeted mailboxes; APT29 has also used compromised accounts holding ApplicationImpersonation rights in Exchange to collect emails.,T1098.002,"Tactics:
Persistence,                                                        Privilege Escalation",Adversaries may grant additional permission levels to maintain persistent access to an adversary-controlled email account.,Additional Email Delegate Permissions
