ID,Name,Description,Techniques,Tactics,Techniques-Description,Techniques-Name
C0046,ArcaneDoor,ArcaneDoor included interception of HTTP traffic to victim devices to identify and parse command and control information sent to the device.,T1557,"Tactics:
Credential Access,                                                        Collection","Adversaries may attempt to position themselves between two or more networked devices using an adversary-in-the-middle (AiTM) technique to support follow-on behaviors such as Network Sniffing, Transmitted Data Manipulation, or replay attacks (Exploitation for Credential Access). By abusing features of common networking protocols that can determine the flow of network traffic (e.g. ARP, DNS, LLMNR, etc.), adversaries may force a device to communicate through an adversary controlled system so they can collect information or perform additional actions.",Adversary-in-the-Middle
S0281,Dok,Dok proxies web traffic to potentially monitor and alter victim HTTP(S) traffic.,T1557,"Tactics:
Credential Access,                                                        Collection","Adversaries may attempt to position themselves between two or more networked devices using an adversary-in-the-middle (AiTM) technique to support follow-on behaviors such as Network Sniffing, Transmitted Data Manipulation, or replay attacks (Exploitation for Credential Access). By abusing features of common networking protocols that can determine the flow of network traffic (e.g. ARP, DNS, LLMNR, etc.), adversaries may force a device to communicate through an adversary controlled system so they can collect information or perform additional actions.",Adversary-in-the-Middle
G0094,Kimsuky,Kimsuky has used modified versions of PHProxy to examine web traffic between the victim and the accessed website.,T1557,"Tactics:
Credential Access,                                                        Collection","Adversaries may attempt to position themselves between two or more networked devices using an adversary-in-the-middle (AiTM) technique to support follow-on behaviors such as Network Sniffing, Transmitted Data Manipulation, or replay attacks (Exploitation for Credential Access). By abusing features of common networking protocols that can determine the flow of network traffic (e.g. ARP, DNS, LLMNR, etc.), adversaries may force a device to communicate through an adversary controlled system so they can collect information or perform additional actions.",Adversary-in-the-Middle
S1188,Line Runner,"Line Runner intercepts HTTP requests to the victim Cisco ASA, looking for a request with a 32-character, victim dependent parameter. If that parameter matches a value in the malware, a contained payload is then written to a Lua script and executed.",T1557,"Tactics:
Credential Access,                                                        Collection","Adversaries may attempt to position themselves between two or more networked devices using an adversary-in-the-middle (AiTM) technique to support follow-on behaviors such as Network Sniffing, Transmitted Data Manipulation, or replay attacks (Exploitation for Credential Access). By abusing features of common networking protocols that can determine the flow of network traffic (e.g. ARP, DNS, LLMNR, etc.), adversaries may force a device to communicate through an adversary controlled system so they can collect information or perform additional actions.",Adversary-in-the-Middle
S1131,NPPSPY,"NPPSPY opens a new network listener for the mpnotify.exe process that is typically contacted by the Winlogon process in Windows. A new, alternative RPC channel is set up with a malicious DLL recording plaintext credentials entered into Winlogon, effectively intercepting and redirecting the logon information.",T1557,"Tactics:
Credential Access,                                                        Collection","Adversaries may attempt to position themselves between two or more networked devices using an adversary-in-the-middle (AiTM) technique to support follow-on behaviors such as Network Sniffing, Transmitted Data Manipulation, or replay attacks (Exploitation for Credential Access). By abusing features of common networking protocols that can determine the flow of network traffic (e.g. ARP, DNS, LLMNR, etc.), adversaries may force a device to communicate through an adversary controlled system so they can collect information or perform additional actions.",Adversary-in-the-Middle
G1041,Sea Turtle,Sea Turtle modified DNS records at service providers to redirect traffic from legitimate resources to Sea Turtle-controlled servers to enable adversary-in-the-middle attacks for credential capture.,T1557,"Tactics:
Credential Access,                                                        Collection","Adversaries may attempt to position themselves between two or more networked devices using an adversary-in-the-middle (AiTM) technique to support follow-on behaviors such as Network Sniffing, Transmitted Data Manipulation, or replay attacks (Exploitation for Credential Access). By abusing features of common networking protocols that can determine the flow of network traffic (e.g. ARP, DNS, LLMNR, etc.), adversaries may force a device to communicate through an adversary controlled system so they can collect information or perform additional actions.",Adversary-in-the-Middle
S0363,Empire,Empire can use Inveigh to conduct name service poisoning for credential theft and associated relay attacks.,T1557.001,"Tactics:
Credential Access,                                                        Collection","By responding to LLMNR/NBT-NS network traffic, adversaries may spoof an authoritative source for name resolution to force communication with an adversary controlled system. This activity may be used to collect or relay authentication materials.",LLMNR/NBT-NS Poisoning and SMB Relay
S0357,Impacket,Impacket modules like ntlmrelayx and smbrelayx can be used in conjunction with Network Sniffing and LLMNR/NBT-NS Poisoning and SMB Relay to gather NetNTLM credentials for Brute Force or relay attacks that can gain code execution.,T1557.001,"Tactics:
Credential Access,                                                        Collection","By responding to LLMNR/NBT-NS network traffic, adversaries may spoof an authoritative source for name resolution to force communication with an adversary controlled system. This activity may be used to collect or relay authentication materials.",LLMNR/NBT-NS Poisoning and SMB Relay
G0032,Lazarus Group,Lazarus Group executed Responder using the command [Responder file path] -i [IP address] -rPv on a compromised host to harvest credentials and move laterally.,T1557.001,"Tactics:
Credential Access,                                                        Collection","By responding to LLMNR/NBT-NS network traffic, adversaries may spoof an authoritative source for name resolution to force communication with an adversary controlled system. This activity may be used to collect or relay authentication materials.",LLMNR/NBT-NS Poisoning and SMB Relay
S0378,PoshC2,PoshC2 can use Inveigh to conduct name service poisoning for credential theft and associated relay attacks.,T1557.001,"Tactics:
Credential Access,                                                        Collection","By responding to LLMNR/NBT-NS network traffic, adversaries may spoof an authoritative source for name resolution to force communication with an adversary controlled system. This activity may be used to collect or relay authentication materials.",LLMNR/NBT-NS Poisoning and SMB Relay
S0192,Pupy,Pupy can sniff plaintext network credentials and use NBNS Spoofing to poison name services.,T1557.001,"Tactics:
Credential Access,                                                        Collection","By responding to LLMNR/NBT-NS network traffic, adversaries may spoof an authoritative source for name resolution to force communication with an adversary controlled system. This activity may be used to collect or relay authentication materials.",LLMNR/NBT-NS Poisoning and SMB Relay
S0174,Responder,Responder is used to poison name services to gather hashes and credentials from systems within a local network.,T1557.001,"Tactics:
Credential Access,                                                        Collection","By responding to LLMNR/NBT-NS network traffic, adversaries may spoof an authoritative source for name resolution to force communication with an adversary controlled system. This activity may be used to collect or relay authentication materials.",LLMNR/NBT-NS Poisoning and SMB Relay
G0102,Wizard Spider,"Wizard Spider has used the Invoke-Inveigh PowerShell cmdlets, likely for name service poisoning.",T1557.001,"Tactics:
Credential Access,                                                        Collection","By responding to LLMNR/NBT-NS network traffic, adversaries may spoof an authoritative source for name resolution to force communication with an adversary controlled system. This activity may be used to collect or relay authentication materials.",LLMNR/NBT-NS Poisoning and SMB Relay
G0003,Cleaver,Cleaver has used custom tools to facilitate ARP cache poisoning.,T1557.002,"Tactics:
Credential Access,                                                        Collection",Adversaries may poison Address Resolution Protocol (ARP) caches to position themselves between the communication of two or more networked devices. This activity may be used to enable follow-on behaviors such as Network Sniffing or Transmitted Data Manipulation.,ARP Cache Poisoning
G1014,LuminousMoth,LuminousMoth has used ARP spoofing to redirect a compromised machine to an actor-controlled website.,T1557.002,"Tactics:
Credential Access,                                                        Collection",Adversaries may poison Address Resolution Protocol (ARP) caches to position themselves between the communication of two or more networked devices. This activity may be used to enable follow-on behaviors such as Network Sniffing or Transmitted Data Manipulation.,ARP Cache Poisoning
G0007,APT28,APT28 has used a Wi-Fi Pineapple to set up Evil Twin Wi-Fi Poisoning for the purposes of capturing victim credentials or planting espionage-oriented malware.,T1557.004,"Tactics:
Credential Access,                                                        Collection","Adversaries may host seemingly genuine Wi-Fi access points to deceive users into connecting to malicious networks as a way of supporting follow-on behaviors such as Network Sniffing, Transmitted Data Manipulation, or Input Capture.",Evil Twin
S0045,ADVSTORESHELL,ADVSTORESHELL encrypts with the 3DES algorithm and a hardcoded key prior to exfiltration.,T1560,Collection,An adversary may compress and/or encrypt data that is collected prior to exfiltration. Compressing the data can help to obfuscate the collected data and minimize the amount of data sent over the network. Encryption can be used to hide information that is being exfiltrated from detection or make exfiltration less conspicuous upon inspection by a defender.,Archive Collected Data
S0331,Agent Tesla,Agent Tesla can encrypt data with 3DES before sending it over to a C2 server.,T1560,Collection,An adversary may compress and/or encrypt data that is collected prior to exfiltration. Compressing the data can help to obfuscate the collected data and minimize the amount of data sent over the network. Encryption can be used to hide information that is being exfiltrated from detection or make exfiltration less conspicuous upon inspection by a defender.,Archive Collected Data
S0622,AppleSeed,AppleSeed has compressed collected data before exfiltration.,T1560,Collection,An adversary may compress and/or encrypt data that is collected prior to exfiltration. Compressing the data can help to obfuscate the collected data and minimize the amount of data sent over the network. Encryption can be used to hide information that is being exfiltrated from detection or make exfiltration less conspicuous upon inspection by a defender.,Archive Collected Data
G0007,APT28,APT28 used a publicly available tool to gather and compress multiple documents on the DCCC and DNC networks.,T1560,Collection,An adversary may compress and/or encrypt data that is collected prior to exfiltration. Compressing the data can help to obfuscate the collected data and minimize the amount of data sent over the network. Encryption can be used to hide information that is being exfiltrated from detection or make exfiltration less conspicuous upon inspection by a defender.,Archive Collected Data
G0050,APT32,APT32's backdoor has used LZMA compression and RC4 encryption before exfiltration.,T1560,Collection,An adversary may compress and/or encrypt data that is collected prior to exfiltration. Compressing the data can help to obfuscate the collected data and minimize the amount of data sent over the network. Encryption can be used to hide information that is being exfiltrated from detection or make exfiltration less conspicuous upon inspection by a defender.,Archive Collected Data
S0456,Aria-body,Aria-body has used ZIP to compress data gathered on a compromised host.,T1560,Collection,An adversary may compress and/or encrypt data that is collected prior to exfiltration. Compressing the data can help to obfuscate the collected data and minimize the amount of data sent over the network. Encryption can be used to hide information that is being exfiltrated from detection or make exfiltration less conspicuous upon inspection by a defender.,Archive Collected Data
G0001,Axiom,Axiom has compressed and encrypted data prior to exfiltration.,T1560,Collection,An adversary may compress and/or encrypt data that is collected prior to exfiltration. Compressing the data can help to obfuscate the collected data and minimize the amount of data sent over the network. Encryption can be used to hide information that is being exfiltrated from detection or make exfiltration less conspicuous upon inspection by a defender.,Archive Collected Data
S0093,Backdoor.Oldrea,Backdoor.Oldrea writes collected data to a temporary file in an encrypted form before exfiltration to a C2 server.,T1560,Collection,An adversary may compress and/or encrypt data that is collected prior to exfiltration. Compressing the data can help to obfuscate the collected data and minimize the amount of data sent over the network. Encryption can be used to hide information that is being exfiltrated from detection or make exfiltration less conspicuous upon inspection by a defender.,Archive Collected Data
G1043,BlackByte,BlackByte compressed data collected from victim environments prior to exfiltration.,T1560,Collection,An adversary may compress and/or encrypt data that is collected prior to exfiltration. Compressing the data can help to obfuscate the collected data and minimize the amount of data sent over the network. Encryption can be used to hide information that is being exfiltrated from detection or make exfiltration less conspicuous upon inspection by a defender.,Archive Collected Data
S0521,BloodHound,BloodHound can compress data collected by its SharpHound ingestor into a ZIP file to be written to disk.,T1560,Collection,An adversary may compress and/or encrypt data that is collected prior to exfiltration. Compressing the data can help to obfuscate the collected data and minimize the amount of data sent over the network. Encryption can be used to hide information that is being exfiltrated from detection or make exfiltration less conspicuous upon inspection by a defender.,Archive Collected Data
S0657,BLUELIGHT,BLUELIGHT can zip files before exfiltration.,T1560,Collection,An adversary may compress and/or encrypt data that is collected prior to exfiltration. Compressing the data can help to obfuscate the collected data and minimize the amount of data sent over the network. Encryption can be used to hide information that is being exfiltrated from detection or make exfiltration less conspicuous upon inspection by a defender.,Archive Collected Data
S1039,Bumblebee,Bumblebee can compress data stolen from the Registry and volume shadow copies prior to exfiltration.,T1560,Collection,An adversary may compress and/or encrypt data that is collected prior to exfiltration. Compressing the data can help to obfuscate the collected data and minimize the amount of data sent over the network. Encryption can be used to hide information that is being exfiltrated from detection or make exfiltration less conspicuous upon inspection by a defender.,Archive Collected Data
S0454,Cadelspy,Cadelspy has the ability to compress stolen data into a .cab file.,T1560,Collection,An adversary may compress and/or encrypt data that is collected prior to exfiltration. Compressing the data can help to obfuscate the collected data and minimize the amount of data sent over the network. Encryption can be used to hide information that is being exfiltrated from detection or make exfiltration less conspicuous upon inspection by a defender.,Archive Collected Data
S0667,Chrommme,Chrommme can encrypt and store on disk collected data before exfiltration.,T1560,Collection,An adversary may compress and/or encrypt data that is collected prior to exfiltration. Compressing the data can help to obfuscate the collected data and minimize the amount of data sent over the network. Encryption can be used to hide information that is being exfiltrated from detection or make exfiltration less conspicuous upon inspection by a defender.,Archive Collected Data
