ID,Name,Description,Techniques,Tactics,Techniques-Description,Techniques-Name
S1088,Disco,"Disco has achieved initial access and execution through content injection into DNS,  HTTP, and SMB replies to targeted hosts that redirect them to download malicious files.",T1659,"Tactics:
Initial Access,                                                        Command and Control","Adversaries may gain access and continuously communicate with victims by injecting malicious content into systems through online network traffic. Rather than luring victims to malicious payloads hosted on a compromised website (i.e., Drive-by Target followed by Drive-by Compromise), adversaries may initially access victims through compromised data-transfer channels where they can manipulate traffic and/or inject their own content. These compromised online network channels may also be used to deliver additional payloads (i.e., Ingress Tool Transfer) and other data to already compromised systems.",Content Injection
G1019,MoustachedBouncer,"MoustachedBouncer has injected content into DNS, HTTP, and SMB replies to redirect specifically-targeted victims to a fake Windows Update page to download malware.",T1659,"Tactics:
Initial Access,                                                        Command and Control","Adversaries may gain access and continuously communicate with victims by injecting malicious content into systems through online network traffic. Rather than luring victims to malicious payloads hosted on a compromised website (i.e., Drive-by Target followed by Drive-by Compromise), adversaries may initially access victims through compromised data-transfer channels where they can manipulate traffic and/or inject their own content. These compromised online network channels may also be used to deliver additional payloads (i.e., Ingress Tool Transfer) and other data to already compromised systems.",Content Injection
G0138,Andariel,"Andariel has used watering hole attacks, often with zero-day exploits, to gain initial access to victims within a specific IP range.",T1189,Initial Access,"Adversaries may gain access to a system through a user visiting a website over the normal course of browsing. Multiple ways of delivering exploit code to a browser exist (i.e., Drive-by Target), including:",Drive-by Compromise
G0073,APT19,APT19 performed a watering hole attack on forbes.com in 2014 to compromise targets.,T1189,Initial Access,"Adversaries may gain access to a system through a user visiting a website over the normal course of browsing. Multiple ways of delivering exploit code to a browser exist (i.e., Drive-by Target), including:",Drive-by Compromise
G0007,APT28,APT28 has compromised targets via strategic web compromise utilizing custom exploit kits. APT28 used reflected cross-site scripting (XSS) against government websites to redirect users to phishing webpages.,T1189,Initial Access,"Adversaries may gain access to a system through a user visiting a website over the normal course of browsing. Multiple ways of delivering exploit code to a browser exist (i.e., Drive-by Target), including:",Drive-by Compromise
G0050,APT32,APT32 has infected victims by tricking them into visiting compromised watering hole websites.,T1189,Initial Access,"Adversaries may gain access to a system through a user visiting a website over the normal course of browsing. Multiple ways of delivering exploit code to a browser exist (i.e., Drive-by Target), including:",Drive-by Compromise
G0067,APT37,"APT37 has used strategic web compromises, particularly of South Korean websites, to distribute malware. The group has also used torrent file-sharing sites to more indiscriminately disseminate malware to victims. As part of their compromises, the group has used a Javascript based profiler called RICECURRY to profile a victim's web browser and deliver malicious code accordingly.",T1189,Initial Access,"Adversaries may gain access to a system through a user visiting a website over the normal course of browsing. Multiple ways of delivering exploit code to a browser exist (i.e., Drive-by Target), including:",Drive-by Compromise
G0082,APT38,APT38 has conducted watering holes schemes to gain initial access to victims.,T1189,Initial Access,"Adversaries may gain access to a system through a user visiting a website over the normal course of browsing. Multiple ways of delivering exploit code to a browser exist (i.e., Drive-by Target), including:",Drive-by Compromise
G0001,Axiom,Axiom has used watering hole attacks to gain access.,T1189,Initial Access,"Adversaries may gain access to a system through a user visiting a website over the normal course of browsing. Multiple ways of delivering exploit code to a browser exist (i.e., Drive-by Target), including:",Drive-by Compromise
S0606,Bad Rabbit,Bad Rabbit spread through watering holes on popular sites by injecting JavaScript into the HTML body or a .js file.,T1189,Initial Access,"Adversaries may gain access to a system through a user visiting a website over the normal course of browsing. Multiple ways of delivering exploit code to a browser exist (i.e., Drive-by Target), including:",Drive-by Compromise
