ID,Name,Description,Techniques,Tactics,Techniques-Description,Techniques-Name
S1130,Raspberry Robin,Raspberry Robin implements a variation of the ucmDccwCOMMethod technique abusing the Windows AutoElevate backdoor to bypass UAC while elevating privileges.,T1548,"Tactics:
Privilege Escalation,                                                        Defense Evasion",Adversaries may circumvent mechanisms designed to control elevate privileges to gain higher-level permissions. Most modern systems contain native elevation control mechanisms that are intended to limit privileges that a user can perform on a machine. Authorization has to be granted to specific users in order to perform tasks that can be considered of higher risk. An adversary can perform several methods to take advantage of built-in control mechanisms in order to escalate privileges on a system.,Abuse Elevation Control Mechanism
S0401,Exaramel for Linux,Exaramel for Linux can execute commands with high privileges via a specific binary with setuid functionality.,T1548.001,"Tactics:
Privilege Escalation,                                                        Defense Evasion","An adversary may abuse configurations where an application has the setuid or setgid bits set in order to get code running in a different (and possibly more privileged) user’s context. On Linux or macOS, when the setuid or setgid bits are set for an application binary, the application will run with the privileges of the owning user or group respectively. Normally an application is run in the current user’s context, regardless of which user or group owns the application. However, there are instances where programs need to be executed in an elevated context to function properly, but the user running them may not have the specific required privileges.",Setuid and Setgid
S0276,Keydnap,Keydnap adds the setuid flag to a binary so it can easily elevate in the future.,T1548.001,"Tactics:
Privilege Escalation,                                                        Defense Evasion","An adversary may abuse configurations where an application has the setuid or setgid bits set in order to get code running in a different (and possibly more privileged) user’s context. On Linux or macOS, when the setuid or setgid bits are set for an application binary, the application will run with the privileges of the owning user or group respectively. Normally an application is run in the current user’s context, regardless of which user or group owns the application. However, there are instances where programs need to be executed in an elevated context to function properly, but the user running them may not have the specific required privileges.",Setuid and Setgid
S0584,AppleJeus,AppleJeus has presented the user with a UAC prompt to elevate privileges while installing.,T1548.002,"Tactics:
Privilege Escalation,                                                        Defense Evasion","Adversaries may bypass UAC mechanisms to elevate process privileges on system. Windows User Account Control (UAC) allows a program to elevate its privileges (tracked as integrity levels ranging from low to high) to perform a task under administrator-level permissions, possibly by prompting the user for confirmation. The impact to the user ranges from denying the operation under high enforcement to allowing the user to perform the action if they are in the local administrators group and click through the prompt or allowing them to enter an administrator password to complete the action.",Bypass User Account Control
G0016,APT29,APT29 has bypassed UAC.,T1548.002,"Tactics:
Privilege Escalation,                                                        Defense Evasion","Adversaries may bypass UAC mechanisms to elevate process privileges on system. Windows User Account Control (UAC) allows a program to elevate its privileges (tracked as integrity levels ranging from low to high) to perform a task under administrator-level permissions, possibly by prompting the user for confirmation. The impact to the user ranges from denying the operation under high enforcement to allowing the user to perform the action if they are in the local administrators group and click through the prompt or allowing them to enter an administrator password to complete the action.",Bypass User Account Control
G0067,APT37,APT37 has a function in the initial dropper to bypass Windows UAC in order to execute the next payload with higher privileges.,T1548.002,"Tactics:
Privilege Escalation,                                                        Defense Evasion","Adversaries may bypass UAC mechanisms to elevate process privileges on system. Windows User Account Control (UAC) allows a program to elevate its privileges (tracked as integrity levels ranging from low to high) to perform a task under administrator-level permissions, possibly by prompting the user for confirmation. The impact to the user ranges from denying the operation under high enforcement to allowing the user to perform the action if they are in the local administrators group and click through the prompt or allowing them to enter an administrator password to complete the action.",Bypass User Account Control
G0082,APT38,APT38 has used the legitimate application ieinstal.exe to bypass UAC.,T1548.002,"Tactics:
Privilege Escalation,                                                        Defense Evasion","Adversaries may bypass UAC mechanisms to elevate process privileges on system. Windows User Account Control (UAC) allows a program to elevate its privileges (tracked as integrity levels ranging from low to high) to perform a task under administrator-level permissions, possibly by prompting the user for confirmation. The impact to the user ranges from denying the operation under high enforcement to allowing the user to perform the action if they are in the local administrators group and click through the prompt or allowing them to enter an administrator password to complete the action.",Bypass User Account Control
S0129,AutoIt backdoor,AutoIt backdoor attempts to escalate privileges by bypassing User Access Control.,T1548.002,"Tactics:
Privilege Escalation,                                                        Defense Evasion","Adversaries may bypass UAC mechanisms to elevate process privileges on system. Windows User Account Control (UAC) allows a program to elevate its privileges (tracked as integrity levels ranging from low to high) to perform a task under administrator-level permissions, possibly by prompting the user for confirmation. The impact to the user ranges from denying the operation under high enforcement to allowing the user to perform the action if they are in the local administrators group and click through the prompt or allowing them to enter an administrator password to complete the action.",Bypass User Account Control
S0640,Avaddon,Avaddon bypasses UAC using the CMSTPLUA COM interface.,T1548.002,"Tactics:
Privilege Escalation,                                                        Defense Evasion","Adversaries may bypass UAC mechanisms to elevate process privileges on system. Windows User Account Control (UAC) allows a program to elevate its privileges (tracked as integrity levels ranging from low to high) to perform a task under administrator-level permissions, possibly by prompting the user for confirmation. The impact to the user ranges from denying the operation under high enforcement to allowing the user to perform the action if they are in the local administrators group and click through the prompt or allowing them to enter an administrator password to complete the action.",Bypass User Account Control
S0606,Bad Rabbit,Bad Rabbit has attempted to bypass UAC and gain elevated administrative privileges.,T1548.002,"Tactics:
Privilege Escalation,                                                        Defense Evasion","Adversaries may bypass UAC mechanisms to elevate process privileges on system. Windows User Account Control (UAC) allows a program to elevate its privileges (tracked as integrity levels ranging from low to high) to perform a task under administrator-level permissions, possibly by prompting the user for confirmation. The impact to the user ranges from denying the operation under high enforcement to allowing the user to perform the action if they are in the local administrators group and click through the prompt or allowing them to enter an administrator password to complete the action.",Bypass User Account Control
S1081,BADHATCH,BADHATCH can utilize the CMSTPLUA COM interface and the SilentCleanup task to bypass UAC.,T1548.002,"Tactics:
Privilege Escalation,                                                        Defense Evasion","Adversaries may bypass UAC mechanisms to elevate process privileges on system. Windows User Account Control (UAC) allows a program to elevate its privileges (tracked as integrity levels ranging from low to high) to perform a task under administrator-level permissions, possibly by prompting the user for confirmation. The impact to the user ranges from denying the operation under high enforcement to allowing the user to perform the action if they are in the local administrators group and click through the prompt or allowing them to enter an administrator password to complete the action.",Bypass User Account Control
S0570,BitPaymer,"BitPaymer can suppress UAC prompts by setting the HKCU\Software\Classes\ms-settings\shell\open\command registry key on Windows 10 or HKCU\Software\Classes\mscfile\shell\open\command on Windows 7 and launching the eventvwr.msc process, which launches BitPaymer with elevated privileges.",T1548.002,"Tactics:
Privilege Escalation,                                                        Defense Evasion","Adversaries may bypass UAC mechanisms to elevate process privileges on system. Windows User Account Control (UAC) allows a program to elevate its privileges (tracked as integrity levels ranging from low to high) to perform a task under administrator-level permissions, possibly by prompting the user for confirmation. The impact to the user ranges from denying the operation under high enforcement to allowing the user to perform the action if they are in the local administrators group and click through the prompt or allowing them to enter an administrator password to complete the action.",Bypass User Account Control
S1068,BlackCat,BlackCat can bypass UAC to escalate privileges.,T1548.002,"Tactics:
Privilege Escalation,                                                        Defense Evasion","Adversaries may bypass UAC mechanisms to elevate process privileges on system. Windows User Account Control (UAC) allows a program to elevate its privileges (tracked as integrity levels ranging from low to high) to perform a task under administrator-level permissions, possibly by prompting the user for confirmation. The impact to the user ranges from denying the operation under high enforcement to allowing the user to perform the action if they are in the local administrators group and click through the prompt or allowing them to enter an administrator password to complete the action.",Bypass User Account Control
S0089,BlackEnergy,BlackEnergy attempts to bypass default User Access Control (UAC) settings by exploiting a backward-compatibility setting found in Windows 7 and later.,T1548.002,"Tactics:
Privilege Escalation,                                                        Defense Evasion","Adversaries may bypass UAC mechanisms to elevate process privileges on system. Windows User Account Control (UAC) allows a program to elevate its privileges (tracked as integrity levels ranging from low to high) to perform a task under administrator-level permissions, possibly by prompting the user for confirmation. The impact to the user ranges from denying the operation under high enforcement to allowing the user to perform the action if they are in the local administrators group and click through the prompt or allowing them to enter an administrator password to complete the action.",Bypass User Account Control
G0060,BRONZE BUTLER,BRONZE BUTLER has used a Windows 10 specific tool and xxmm to bypass UAC for privilege escalation.,T1548.002,"Tactics:
Privilege Escalation,                                                        Defense Evasion","Adversaries may bypass UAC mechanisms to elevate process privileges on system. Windows User Account Control (UAC) allows a program to elevate its privileges (tracked as integrity levels ranging from low to high) to perform a task under administrator-level permissions, possibly by prompting the user for confirmation. The impact to the user ranges from denying the operation under high enforcement to allowing the user to perform the action if they are in the local administrators group and click through the prompt or allowing them to enter an administrator password to complete the action.",Bypass User Account Control
S1039,Bumblebee,Bumblebee has the ability to bypass UAC to deploy post exploitation tools with elevated privileges.,T1548.002,"Tactics:
Privilege Escalation,                                                        Defense Evasion","Adversaries may bypass UAC mechanisms to elevate process privileges on system. Windows User Account Control (UAC) allows a program to elevate its privileges (tracked as integrity levels ranging from low to high) to perform a task under administrator-level permissions, possibly by prompting the user for confirmation. The impact to the user ranges from denying the operation under high enforcement to allowing the user to perform the action if they are in the local administrators group and click through the prompt or allowing them to enter an administrator password to complete the action.",Bypass User Account Control
S1149,CHIMNEYSWEEP,CHIMNEYSWEEP can make use of the Windows SilentCleanup scheduled task to execute its payload with elevated privileges.,T1548.002,"Tactics:
Privilege Escalation,                                                        Defense Evasion","Adversaries may bypass UAC mechanisms to elevate process privileges on system. Windows User Account Control (UAC) allows a program to elevate its privileges (tracked as integrity levels ranging from low to high) to perform a task under administrator-level permissions, possibly by prompting the user for confirmation. The impact to the user ranges from denying the operation under high enforcement to allowing the user to perform the action if they are in the local administrators group and click through the prompt or allowing them to enter an administrator password to complete the action.",Bypass User Account Control
S0660,Clambling,Clambling has the ability to bypass UAC using a passuac.dll file.,T1548.002,"Tactics:
Privilege Escalation,                                                        Defense Evasion","Adversaries may bypass UAC mechanisms to elevate process privileges on system. Windows User Account Control (UAC) allows a program to elevate its privileges (tracked as integrity levels ranging from low to high) to perform a task under administrator-level permissions, possibly by prompting the user for confirmation. The impact to the user ranges from denying the operation under high enforcement to allowing the user to perform the action if they are in the local administrators group and click through the prompt or allowing them to enter an administrator password to complete the action.",Bypass User Account Control
G0080,Cobalt Group,Cobalt Group has bypassed UAC.,T1548.002,"Tactics:
Privilege Escalation,                                                        Defense Evasion","Adversaries may bypass UAC mechanisms to elevate process privileges on system. Windows User Account Control (UAC) allows a program to elevate its privileges (tracked as integrity levels ranging from low to high) to perform a task under administrator-level permissions, possibly by prompting the user for confirmation. The impact to the user ranges from denying the operation under high enforcement to allowing the user to perform the action if they are in the local administrators group and click through the prompt or allowing them to enter an administrator password to complete the action.",Bypass User Account Control
S0154,Cobalt Strike,Cobalt Strike can use a number of known techniques to bypass Windows UAC.,T1548.002,"Tactics:
Privilege Escalation,                                                        Defense Evasion","Adversaries may bypass UAC mechanisms to elevate process privileges on system. Windows User Account Control (UAC) allows a program to elevate its privileges (tracked as integrity levels ranging from low to high) to perform a task under administrator-level permissions, possibly by prompting the user for confirmation. The impact to the user ranges from denying the operation under high enforcement to allowing the user to perform the action if they are in the local administrators group and click through the prompt or allowing them to enter an administrator password to complete the action.",Bypass User Account Control
S0527,CSPY Downloader,CSPY Downloader can bypass UAC using the SilentCleanup task to execute the binary with elevated privileges.,T1548.002,"Tactics:
Privilege Escalation,                                                        Defense Evasion","Adversaries may bypass UAC mechanisms to elevate process privileges on system. Windows User Account Control (UAC) allows a program to elevate its privileges (tracked as integrity levels ranging from low to high) to perform a task under administrator-level permissions, possibly by prompting the user for confirmation. The impact to the user ranges from denying the operation under high enforcement to allowing the user to perform the action if they are in the local administrators group and click through the prompt or allowing them to enter an administrator password to complete the action.",Bypass User Account Control
S1111,DarkGate,DarkGate uses two distinct User Account Control (UAC) bypass techniques to escalate privileges.,T1548.002,"Tactics:
Privilege Escalation,                                                        Defense Evasion","Adversaries may bypass UAC mechanisms to elevate process privileges on system. Windows User Account Control (UAC) allows a program to elevate its privileges (tracked as integrity levels ranging from low to high) to perform a task under administrator-level permissions, possibly by prompting the user for confirmation. The impact to the user ranges from denying the operation under high enforcement to allowing the user to perform the action if they are in the local administrators group and click through the prompt or allowing them to enter an administrator password to complete the action.",Bypass User Account Control
S0134,Downdelph,"Downdelph bypasses UAC to escalate privileges by using a custom ""RedirectEXE"" shim database.",T1548.002,"Tactics:
Privilege Escalation,                                                        Defense Evasion","Adversaries may bypass UAC mechanisms to elevate process privileges on system. Windows User Account Control (UAC) allows a program to elevate its privileges (tracked as integrity levels ranging from low to high) to perform a task under administrator-level permissions, possibly by prompting the user for confirmation. The impact to the user ranges from denying the operation under high enforcement to allowing the user to perform the action if they are in the local administrators group and click through the prompt or allowing them to enter an administrator password to complete the action.",Bypass User Account Control
G1006,Earth Lusca,Earth Lusca has used the Fodhelper UAC bypass technique to gain elevated privileges.,T1548.002,"Tactics:
Privilege Escalation,                                                        Defense Evasion","Adversaries may bypass UAC mechanisms to elevate process privileges on system. Windows User Account Control (UAC) allows a program to elevate its privileges (tracked as integrity levels ranging from low to high) to perform a task under administrator-level permissions, possibly by prompting the user for confirmation. The impact to the user ranges from denying the operation under high enforcement to allowing the user to perform the action if they are in the local administrators group and click through the prompt or allowing them to enter an administrator password to complete the action.",Bypass User Account Control
S0363,Empire,Empire includes various modules to attempt to bypass UAC for escalation of privileges.,T1548.002,"Tactics:
Privilege Escalation,                                                        Defense Evasion","Adversaries may bypass UAC mechanisms to elevate process privileges on system. Windows User Account Control (UAC) allows a program to elevate its privileges (tracked as integrity levels ranging from low to high) to perform a task under administrator-level permissions, possibly by prompting the user for confirmation. The impact to the user ranges from denying the operation under high enforcement to allowing the user to perform the action if they are in the local administrators group and click through the prompt or allowing them to enter an administrator password to complete the action.",Bypass User Account Control
G0120,Evilnum,Evilnum has used PowerShell to bypass UAC.,T1548.002,"Tactics:
Privilege Escalation,                                                        Defense Evasion","Adversaries may bypass UAC mechanisms to elevate process privileges on system. Windows User Account Control (UAC) allows a program to elevate its privileges (tracked as integrity levels ranging from low to high) to perform a task under administrator-level permissions, possibly by prompting the user for confirmation. The impact to the user ranges from denying the operation under high enforcement to allowing the user to perform the action if they are in the local administrators group and click through the prompt or allowing them to enter an administrator password to complete the action.",Bypass User Account Control
S0182,FinFisher,FinFisher performs UAC bypass.,T1548.002,"Tactics:
Privilege Escalation,                                                        Defense Evasion","Adversaries may bypass UAC mechanisms to elevate process privileges on system. Windows User Account Control (UAC) allows a program to elevate its privileges (tracked as integrity levels ranging from low to high) to perform a task under administrator-level permissions, possibly by prompting the user for confirmation. The impact to the user ranges from denying the operation under high enforcement to allowing the user to perform the action if they are in the local administrators group and click through the prompt or allowing them to enter an administrator password to complete the action.",Bypass User Account Control
S0666,Gelsemium,Gelsemium can bypass UAC to elevate process privileges on a compromised host.,T1548.002,"Tactics:
Privilege Escalation,                                                        Defense Evasion","Adversaries may bypass UAC mechanisms to elevate process privileges on system. Windows User Account Control (UAC) allows a program to elevate its privileges (tracked as integrity levels ranging from low to high) to perform a task under administrator-level permissions, possibly by prompting the user for confirmation. The impact to the user ranges from denying the operation under high enforcement to allowing the user to perform the action if they are in the local administrators group and click through the prompt or allowing them to enter an administrator password to complete the action.",Bypass User Account Control
S0531,Grandoreiro,Grandoreiro can bypass UAC by registering as the default handler for .MSC files.,T1548.002,"Tactics:
Privilege Escalation,                                                        Defense Evasion","Adversaries may bypass UAC mechanisms to elevate process privileges on system. Windows User Account Control (UAC) allows a program to elevate its privileges (tracked as integrity levels ranging from low to high) to perform a task under administrator-level permissions, possibly by prompting the user for confirmation. The impact to the user ranges from denying the operation under high enforcement to allowing the user to perform the action if they are in the local administrators group and click through the prompt or allowing them to enter an administrator password to complete the action.",Bypass User Account Control
S0132,H1N1,H1N1 bypasses user access control by using a DLL hijacking vulnerability in the Windows Update Standalone Installer (wusa.exe).,T1548.002,"Tactics:
Privilege Escalation,                                                        Defense Evasion","Adversaries may bypass UAC mechanisms to elevate process privileges on system. Windows User Account Control (UAC) allows a program to elevate its privileges (tracked as integrity levels ranging from low to high) to perform a task under administrator-level permissions, possibly by prompting the user for confirmation. The impact to the user ranges from denying the operation under high enforcement to allowing the user to perform the action if they are in the local administrators group and click through the prompt or allowing them to enter an administrator password to complete the action.",Bypass User Account Control
