ID,Name,Description,Techniques,Tactics,Techniques-Description,Techniques-Name
C0030,Triton Safety Instrumented System Attack,"In the Triton Safety Instrumented System Attack, TEMP.Veles engaged in network reconnaissance against targets of interest.",T1595,Reconnaissance,"Adversaries may execute active reconnaissance scans to gather information that can be used during targeting. Active scans are those where the adversary probes victim infrastructure via network traffic, as opposed to other forms of reconnaissance that do not involve direct interaction.",Active Scanning
G1003,Ember Bear,Ember Bear has targeted IP ranges for vulnerability scanning related to government and critical infrastructure organizations.,T1595.001,Reconnaissance,"Adversaries may scan victim IP blocks to gather information that can be used during targeting. Public IP addresses may be allocated to organizations by block, or a range of sequential addresses.",Scanning IP Blocks
G0139,TeamTNT,TeamTNT has scanned specific lists of target IP addresses.,T1595.001,Reconnaissance,"Adversaries may scan victim IP blocks to gather information that can be used during targeting. Public IP addresses may be allocated to organizations by block, or a range of sequential addresses.",Scanning IP Blocks
G0007,APT28,APT28 has performed large-scale scans in an attempt to find vulnerable servers.,T1595.002,Reconnaissance,Adversaries may scan victims for vulnerabilities that can be used during targeting. Vulnerability scans typically check if the configuration of a target host/application (ex: software and version) potentially aligns with the target of a specific exploit the adversary may seek to use.,Vulnerability Scanning
G0016,APT29,APT29 has conducted widespread scanning of target environments to identify vulnerabilities for exploit.,T1595.002,Reconnaissance,Adversaries may scan victims for vulnerabilities that can be used during targeting. Vulnerability scans typically check if the configuration of a target host/application (ex: software and version) potentially aligns with the target of a specific exploit the adversary may seek to use.,Vulnerability Scanning
G0096,APT41,"APT41 used the Acunetix SQL injection vulnerability scanner in target reconnaissance operations, as well as the JexBoss tool to identify vulnerabilities in Java applications.",T1595.002,Reconnaissance,Adversaries may scan victims for vulnerabilities that can be used during targeting. Vulnerability scans typically check if the configuration of a target host/application (ex: software and version) potentially aligns with the target of a specific exploit the adversary may seek to use.,Vulnerability Scanning
G0143,Aquatic Panda,Aquatic Panda has used publicly accessible DNS logging services to identify servers vulnerable to Log4j (CVE 2021-44228).,T1595.002,Reconnaissance,Adversaries may scan victims for vulnerabilities that can be used during targeting. Vulnerability scans typically check if the configuration of a target host/application (ex: software and version) potentially aligns with the target of a specific exploit the adversary may seek to use.,Vulnerability Scanning
C0029,Cutting Edge,"During Cutting Edge, threat actors used the publicly available Interactsh tool to identify Ivanti Connect Secure VPNs vulnerable to CVE-2024-21893.",T1595.002,Reconnaissance,Adversaries may scan victims for vulnerabilities that can be used during targeting. Vulnerability scans typically check if the configuration of a target host/application (ex: software and version) potentially aligns with the target of a specific exploit the adversary may seek to use.,Vulnerability Scanning
G0035,Dragonfly,Dragonfly has scanned targeted systems for vulnerable Citrix and Microsoft Exchange services.,T1595.002,Reconnaissance,Adversaries may scan victims for vulnerabilities that can be used during targeting. Vulnerability scans typically check if the configuration of a target host/application (ex: software and version) potentially aligns with the target of a specific exploit the adversary may seek to use.,Vulnerability Scanning
G1006,Earth Lusca,Earth Lusca has scanned for vulnerabilities in the public-facing servers of their targets.,T1595.002,Reconnaissance,Adversaries may scan victims for vulnerabilities that can be used during targeting. Vulnerability scans typically check if the configuration of a target host/application (ex: software and version) potentially aligns with the target of a specific exploit the adversary may seek to use.,Vulnerability Scanning
