ID,Name,Description,Techniques,Tactics,Techniques-Description,Techniques-Name
C0046,ArcaneDoor,ArcaneDoor included scripted exfiltration of collected data.,T1020,Exfiltration,"Adversaries may exfiltrate data, such as sensitive documents, through the use of automated processing after being gathered during Collection.",Automated Exfiltration
S0438,Attor,Attor has a file uploader plugin that automatically exfiltrates the collected data and log files to the C2 server.,T1020,Exfiltration,"Adversaries may exfiltrate data, such as sensitive documents, through the use of automated processing after being gathered during Collection.",Automated Exfiltration
S0050,CosmicDuke,CosmicDuke exfiltrates collected files automatically over FTP to remote servers.,T1020,Exfiltration,"Adversaries may exfiltrate data, such as sensitive documents, through the use of automated processing after being gathered during Collection.",Automated Exfiltration
S0538,Crutch,Crutch has automatically exfiltrated stolen files to Dropbox.,T1020,Exfiltration,"Adversaries may exfiltrate data, such as sensitive documents, through the use of automated processing after being gathered during Collection.",Automated Exfiltration
S0600,Doki,Doki has used a script that gathers information from a hardcoded list of IP addresses and uploads to an Ngrok URL.,T1020,Exfiltration,"Adversaries may exfiltrate data, such as sensitive documents, through the use of automated processing after being gathered during Collection.",Automated Exfiltration
S0377,Ebury,"If credentials are not collected for two weeks, Ebury encrypts the credentials using a public key and sends them via UDP to an IP address located in the DNS TXT record.",T1020,Exfiltration,"Adversaries may exfiltrate data, such as sensitive documents, through the use of automated processing after being gathered during Collection.",Automated Exfiltration
S0363,Empire,Empire has the ability to automatically send collected data back to the threat actors' C2.,T1020,Exfiltration,"Adversaries may exfiltrate data, such as sensitive documents, through the use of automated processing after being gathered during Collection.",Automated Exfiltration
C0001,Frankenstein,"During Frankenstein, the threat actors collected information via Empire, which was automatically sent back to the adversary's C2.",T1020,Exfiltration,"Adversaries may exfiltrate data, such as sensitive documents, through the use of automated processing after being gathered during Collection.",Automated Exfiltration
G0047,Gamaredon Group,Gamaredon Group has used modules that automatically upload gathered documents to the C2 server.,T1020,Exfiltration,"Adversaries may exfiltrate data, such as sensitive documents, through the use of automated processing after being gathered during Collection.",Automated Exfiltration
S1211,Hannotog,Hannotog can upload encyrpted data for exfiltration.,T1020,Exfiltration,"Adversaries may exfiltrate data, such as sensitive documents, through the use of automated processing after being gathered during Collection.",Automated Exfiltration
G0004,Ke3chang,Ke3chang has performed  frequent and scheduled data exfiltration from compromised networks.,T1020,Exfiltration,"Adversaries may exfiltrate data, such as sensitive documents, through the use of automated processing after being gathered during Collection.",Automated Exfiltration
S0395,LightNeuron,LightNeuron can be configured to automatically exfiltrate files under a specified directory.,T1020,Exfiltration,"Adversaries may exfiltrate data, such as sensitive documents, through the use of automated processing after being gathered during Collection.",Automated Exfiltration
S0409,Machete,Machete’s collected files are exfiltrated automatically to remote servers.,T1020,Exfiltration,"Adversaries may exfiltrate data, such as sensitive documents, through the use of automated processing after being gathered during Collection.",Automated Exfiltration
S1017,OutSteel,OutSteel can automatically upload collected files to its C2 server.,T1020,Exfiltration,"Adversaries may exfiltrate data, such as sensitive documents, through the use of automated processing after being gathered during Collection.",Automated Exfiltration
S0643,Peppy,Peppy has the ability to automatically exfiltrate files and keylogs.,T1020,Exfiltration,"Adversaries may exfiltrate data, such as sensitive documents, through the use of automated processing after being gathered during Collection.",Automated Exfiltration
S1148,Raccoon Stealer,Raccoon Stealer will automatically collect and exfiltrate data identified in received configuration files from command and control nodes.,T1020,Exfiltration,"Adversaries may exfiltrate data, such as sensitive documents, through the use of automated processing after being gathered during Collection.",Automated Exfiltration
G1039,RedCurl,RedCurl has used batch scripts to exfiltrate data.,T1020,Exfiltration,"Adversaries may exfiltrate data, such as sensitive documents, through the use of automated processing after being gathered during Collection.",Automated Exfiltration
S0090,Rover,Rover automatically searches for files on local drives based on a predefined list of file extensions and sends them to the command and control server every 60 minutes. Rover also automatically sends keylogger files and screenshots to the C2 server on a regular timeframe.,T1020,Exfiltration,"Adversaries may exfiltrate data, such as sensitive documents, through the use of automated processing after being gathered during Collection.",Automated Exfiltration
