ID,Name,Description,Techniques,Tactics,Techniques-Description,Techniques-Name
G0007,APT28,APT28 exploited a Windows SMB Remote Code Execution Vulnerability to conduct lateral movement.,T1210,Lateral Movement,"Adversaries may exploit remote services to gain unauthorized access to internal systems once inside of a network. Exploitation of a software vulnerability occurs when an adversary takes advantage of a programming error in a program, service, or within the operating system software or kernel itself to execute adversary-controlled code. A common goal for post-compromise exploitation of remote services is for lateral movement to enable access to a remote system.",Exploitation of Remote Services
S0606,Bad Rabbit,Bad Rabbit used the EternalRomance SMB exploit to spread through victim networks.,T1210,Lateral Movement,"Adversaries may exploit remote services to gain unauthorized access to internal systems once inside of a network. Exploitation of a software vulnerability occurs when an adversary takes advantage of a programming error in a program, service, or within the operating system software or kernel itself to execute adversary-controlled code. A common goal for post-compromise exploitation of remote services is for lateral movement to enable access to a remote system.",Exploitation of Remote Services
S0608,Conficker,Conficker exploited the MS08-067 Windows vulnerability for remote code execution through a crafted RPC request.,T1210,Lateral Movement,"Adversaries may exploit remote services to gain unauthorized access to internal systems once inside of a network. Exploitation of a software vulnerability occurs when an adversary takes advantage of a programming error in a program, service, or within the operating system software or kernel itself to execute adversary-controlled code. A common goal for post-compromise exploitation of remote services is for lateral movement to enable access to a remote system.",Exploitation of Remote Services
G0035,Dragonfly,Dragonfly has exploited a Windows Netlogon vulnerability (CVE-2020-1472) to obtain access to Windows Active Directory servers.,T1210,Lateral Movement,"Adversaries may exploit remote services to gain unauthorized access to internal systems once inside of a network. Exploitation of a software vulnerability occurs when an adversary takes advantage of a programming error in a program, service, or within the operating system software or kernel itself to execute adversary-controlled code. A common goal for post-compromise exploitation of remote services is for lateral movement to enable access to a remote system.",Exploitation of Remote Services
G1006,Earth Lusca,Earth Lusca has used Mimikatz to exploit a domain controller via the ZeroLogon exploit (CVE-2020-1472).,T1210,Lateral Movement,"Adversaries may exploit remote services to gain unauthorized access to internal systems once inside of a network. Exploitation of a software vulnerability occurs when an adversary takes advantage of a programming error in a program, service, or within the operating system software or kernel itself to execute adversary-controlled code. A common goal for post-compromise exploitation of remote services is for lateral movement to enable access to a remote system.",Exploitation of Remote Services
G1003,Ember Bear,"Ember Bear has used exploits for vulnerabilities such as MS17-010, also known as Eternal Blue, during operations.",T1210,Lateral Movement,"Adversaries may exploit remote services to gain unauthorized access to internal systems once inside of a network. Exploitation of a software vulnerability occurs when an adversary takes advantage of a programming error in a program, service, or within the operating system software or kernel itself to execute adversary-controlled code. A common goal for post-compromise exploitation of remote services is for lateral movement to enable access to a remote system.",Exploitation of Remote Services
S0367,Emotet,Emotet has been seen exploiting SMB via a vulnerability exploit like EternalBlue (MS17-010) to achieve lateral movement and propagation.,T1210,Lateral Movement,"Adversaries may exploit remote services to gain unauthorized access to internal systems once inside of a network. Exploitation of a software vulnerability occurs when an adversary takes advantage of a programming error in a program, service, or within the operating system software or kernel itself to execute adversary-controlled code. A common goal for post-compromise exploitation of remote services is for lateral movement to enable access to a remote system.",Exploitation of Remote Services
S0363,Empire,"Empire has a limited number of built-in modules for exploiting remote SMB, JBoss, and Jenkins servers.",T1210,Lateral Movement,"Adversaries may exploit remote services to gain unauthorized access to internal systems once inside of a network. Exploitation of a software vulnerability occurs when an adversary takes advantage of a programming error in a program, service, or within the operating system software or kernel itself to execute adversary-controlled code. A common goal for post-compromise exploitation of remote services is for lateral movement to enable access to a remote system.",Exploitation of Remote Services
G0046,FIN7,FIN7 has exploited ZeroLogon (CVE-2020-1472) against vulnerable domain controllers.,T1210,Lateral Movement,"Adversaries may exploit remote services to gain unauthorized access to internal systems once inside of a network. Exploitation of a software vulnerability occurs when an adversary takes advantage of a programming error in a program, service, or within the operating system software or kernel itself to execute adversary-controlled code. A common goal for post-compromise exploitation of remote services is for lateral movement to enable access to a remote system.",Exploitation of Remote Services
S0143,Flame,Flame can use MS10-061 to exploit a print spooler vulnerability in a remote system with a shared printer in order to move laterally.,T1210,Lateral Movement,"Adversaries may exploit remote services to gain unauthorized access to internal systems once inside of a network. Exploitation of a software vulnerability occurs when an adversary takes advantage of a programming error in a program, service, or within the operating system software or kernel itself to execute adversary-controlled code. A common goal for post-compromise exploitation of remote services is for lateral movement to enable access to a remote system.",Exploitation of Remote Services
