ID,Name,Description,Techniques,Tactics,Techniques-Description,Techniques-Name
S0660,Clambling,Clambling has the ability to use Telnet for communication.,T1071,Command and Control,"Adversaries may communicate using OSI application layer protocols to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Application Layer Protocol
S0038,Duqu,"Duqu uses a custom command and control protocol that communicates over commonly used ports, and is frequently encapsulated by application layer protocols.",T1071,Command and Control,"Adversaries may communicate using OSI application layer protocols to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Application Layer Protocol
C0041,FrostyGoop Incident,"During FrostyGoop Incident, the adversary initiated Layer Two Tunnelling Protocol (L2TP) connections to Moscow-based IP addresses.",T1071,Command and Control,"Adversaries may communicate using OSI application layer protocols to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Application Layer Protocol
S0601,Hildegard,Hildegard has used an IRC channel for C2 communications.,T1071,Command and Control,"Adversaries may communicate using OSI application layer protocols to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Application Layer Protocol
G1032,INC Ransom,INC Ransom has used valid accounts over RDP to connect to targeted systems.,T1071,Command and Control,"Adversaries may communicate using OSI application layer protocols to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Application Layer Protocol
S0532,Lucifer,Lucifer can use the Stratum protocol on port 10001 for communication between the cryptojacking bot and the mining server.,T1071,Command and Control,"Adversaries may communicate using OSI application layer protocols to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Application Layer Protocol
G0059,Magic Hound,Magic Hound malware has used IRC for C2.,T1071,Command and Control,"Adversaries may communicate using OSI application layer protocols to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Application Layer Protocol
S0034,NETEAGLE,Adversaries can also use NETEAGLE to establish an RDP connection with a controller over TCP/7519.,T1071,Command and Control,"Adversaries may communicate using OSI application layer protocols to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Application Layer Protocol
S1147,Nightdoor,Nightdoor uses TCP and UDP communication for command and control traffic.,T1071,Command and Control,"Adversaries may communicate using OSI application layer protocols to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Application Layer Protocol
S1084,QUIETEXIT,QUIETEXIT can use an inverse negotiated SSH connection as part of its C2.,T1071,Command and Control,"Adversaries may communicate using OSI application layer protocols to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Application Layer Protocol
S1130,Raspberry Robin,Raspberry Robin is capable of contacting the TOR network for delivering second-stage payloads.,T1071,Command and Control,"Adversaries may communicate using OSI application layer protocols to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Application Layer Protocol
G0106,Rocke,Rocke issued wget requests from infected systems to the C2.,T1071,Command and Control,"Adversaries may communicate using OSI application layer protocols to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Application Layer Protocol
S0623,Siloscape,Siloscape connects to an IRC server for C2.,T1071,Command and Control,"Adversaries may communicate using OSI application layer protocols to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Application Layer Protocol
S0633,Sliver,Sliver can utilize the Wireguard VPN protocol for command and control.,T1071,Command and Control,"Adversaries may communicate using OSI application layer protocols to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Application Layer Protocol
G0139,TeamTNT,TeamTNT has used an IRC bot for C2 communications.,T1071,Command and Control,"Adversaries may communicate using OSI application layer protocols to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Application Layer Protocol
G1047,Velvet Ant,Velvet Ant has used reverse SSH tunnels to communicate to victim devices.,T1071,Command and Control,"Adversaries may communicate using OSI application layer protocols to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Application Layer Protocol
C0028,2015 Ukraine Electric Power Attack,"During the 2015 Ukraine Electric Power Attack, Sandworm Team used BlackEnergy to communicate between compromised hosts and their command-and-control servers via HTTP post requests.",T1071.001,Command and Control,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Web Protocols
S0066,3PARA RAT,3PARA RAT uses HTTP for command and control.,T1071.001,Command and Control,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Web Protocols
S0065,4H RAT,4H RAT uses HTTP for command and control.,T1071.001,Command and Control,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Web Protocols
S0469,ABK,ABK has the ability to use HTTP in communications with C2.,T1071.001,Command and Control,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Web Protocols
S1028,Action RAT,Action RAT can use HTTP to communicate with C2 servers.,T1071.001,Command and Control,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Web Protocols
S0045,ADVSTORESHELL,ADVSTORESHELL connects to port 80 of a C2 server using Wininet API. Data is exchanged via HTTP POSTs.,T1071.001,Command and Control,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Web Protocols
S0331,Agent Tesla,Agent Tesla has used HTTP for C2 communications.,T1071.001,Command and Control,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Web Protocols
S1025,Amadey,Amadey has used HTTP for C2 communications.,T1071.001,Command and Control,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Web Protocols
S0504,Anchor,Anchor has used HTTP and HTTPS in C2 communications.,T1071.001,Command and Control,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Web Protocols
S1074,ANDROMEDA,ANDROMEDA has the ability to make GET requests to download files from C2.,T1071.001,Command and Control,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Web Protocols
S0584,AppleJeus,AppleJeus has sent data to its C2 server via POST requests.,T1071.001,Command and Control,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Web Protocols
S0622,AppleSeed,AppleSeed has the ability to communicate with C2 over HTTP.,T1071.001,Command and Control,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Web Protocols
G0026,APT18,APT18 uses HTTP for C2 communications.,T1071.001,Command and Control,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Web Protocols
G0073,APT19,APT19 used HTTP for C2 communications. APT19 also used an HTTP malware variant to communicate over HTTP for C2.,T1071.001,Command and Control,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Web Protocols
G0007,APT28,"Later implants used by APT28, such as CHOPSTICK, use a blend of HTTP, HTTPS, and other legitimate channels for C2, depending on module configuration.",T1071.001,Command and Control,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Web Protocols
G0050,APT32,APT32 has used JavaScript that communicates over HTTP or HTTPS to attacker controlled domains to download additional frameworks. The group has also used downloaded encrypted payloads over HTTP.,T1071.001,Command and Control,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Web Protocols
G0064,APT33,APT33 has used HTTP for command and control.,T1071.001,Command and Control,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Web Protocols
G0067,APT37,APT37 uses HTTPS to conceal C2 communications.,T1071.001,Command and Control,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Web Protocols
G0082,APT38,"APT38 used a backdoor, QUICKRIDE, to communicate to the C2 server over HTTP and HTTPS.",T1071.001,Command and Control,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Web Protocols
G0087,APT39,APT39 has used HTTP in communications with C2.,T1071.001,Command and Control,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Web Protocols
G0096,APT41,APT41 used HTTP to download payloads for CVE-2019-19781 and CVE-2020-10189 exploits.,T1071.001,Command and Control,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Web Protocols
C0040,APT41 DUST,APT41 DUST used HTTPS for command and control.,T1071.001,Command and Control,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Web Protocols
G1044,APT42,APT42 has used tools such as NICECURL with command and control communication taking place over HTTPS.,T1071.001,Command and Control,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Web Protocols
C0046,ArcaneDoor,ArcaneDoor command and control activity was conducted through HTTP.,T1071.001,Command and Control,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Web Protocols
S0456,Aria-body,Aria-body has used HTTP in C2 communications.,T1071.001,Command and Control,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Web Protocols
S1029,AuTo Stealer,AuTo Stealer can use HTTP to communicate with its C2 servers.,T1071.001,Command and Control,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Web Protocols
S0473,Avenger,Avenger has the ability to use HTTP in communication with C2.,T1071.001,Command and Control,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Web Protocols
S0475,BackConfig,BackConfig has the ability to use HTTPS for C2 communiations.,T1071.001,Command and Control,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Web Protocols
S0031,BACKSPACE,BACKSPACE uses HTTP as a transport to communicate with its command server.,T1071.001,Command and Control,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Web Protocols
S1081,BADHATCH,BADHATCH can use HTTP and HTTPS over port 443 to communicate with actor-controlled C2 servers.,T1071.001,Command and Control,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Web Protocols
S0128,BADNEWS,BADNEWS establishes a backdoor over HTTP.,T1071.001,Command and Control,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Web Protocols
S0337,BadPatch,BadPatch uses HTTP for C2.,T1071.001,Command and Control,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Web Protocols
S0239,Bankshot,Bankshot uses HTTP for command and control communication.,T1071.001,Command and Control,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Web Protocols
S0534,Bazar,Bazar can use HTTP and HTTPS over ports 80 and 443 in C2 communications.,T1071.001,Command and Control,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Web Protocols
S0470,BBK,BBK has the ability to use HTTP in communications with C2.,T1071.001,Command and Control,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Web Protocols
S0127,BBSRAT,BBSRAT uses GET and POST requests over HTTP or HTTPS for command and control to obtain commands and send ZLIB compressed data back to the C2 server.,T1071.001,Command and Control,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Web Protocols
S0268,Bisonal,Bisonal has used HTTP for C2 communications.,T1071.001,Command and Control,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Web Protocols
G1002,BITTER,BITTER has used HTTP POST requests for C2.,T1071.001,Command and Control,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Web Protocols
